Neighborhood,Adress,Apartment,House,Price,Rooms,Baths,Sq Ft,Sq Ft Lot,Year Built,View,Fire Place,Levels,Attached Garage,Total Parking Space,Pool
Angelino-Heights,1037 Buena Vista St,0,1,3175000.0,3.0,2.0,2022.0,15681.599999999999,1949.0,0,1,2,1,5.0,1
Angelino-Heights,3526 Lowell Ave,0,1,868000.0,3.0,2.0,1564.0,5227.0,1938.0,1,1,1,0,0.0,0
Angelino-Heights,713 Harding Ave,0,1,690000.0,2.0,1.0,770.0,5663.0,1954.0,1,1,1,0,2.0,0
Angelino-Heights,2167 Broadview Ter,0,1,1344000.0,3.0,3.0,1497.0,2614.0,1941.0,1,0,3,0,2.0,0
Angelino-Heights,2229 W 78th St,0,1,890000.0,3.0,2.0,1625.0,6534.0,1925.0,1,1,1,0,0.0,0
Angelino-Heights,1930 Hanscom Dr,0,1,1258875.0,4.0,3.0,1954.0,7841.0,1960.0,1,1,2,1,2.0,0
Angelino-Heights,2620 Whitney Dr,0,1,770000.0,2.0,2.0,923.0,6098.0,1950.0,0,0,1,0,0.0,0
Angelino-Heights,3132 San Marino St,0,1,550000.0,2.0,2.0,1183.0,3049.0,1961.0,0,0,1,0,2.0,0
Angelino-Heights,4919 7th Ave,0,1,700000.0,2.0,1.0,1080.0,6534.0,1920.0,0,0,1,0,0.0,0
Angelino-Heights,727 Coronel St,0,1,590500.0,2.0,1.0,889.0,2614.0,1932.0,1,1,1,0,0.0,0
Angelino-Heights,246 Alpine St Unit 16,1,0,690000.0,2.0,2.0,1052.0,1052.0,1987.0,0,1,2,0,2.0,0
Angelino-Heights,1172 Masselin Ave,0,1,2245000.0,4.0,4.0,2207.0,5227.0,1925.0,0,1,1,0,0.0,0
Angelino-Heights,5416 Eileen Ave,0,1,825400.0,3.0,2.0,1395.0,6098.0,1938.0,1,1,1,0,2.0,0
Angelino-Heights,1218 N Clybourn Ave,0,1,1070000.0,2.0,1.0,1086.0,4792.0,1941.0,1,0,1,1,3.0,1
Angelino-Heights,3558 S Gramercy Pl,0,1,1005888.0,3.0,2.0,1246.0,4792.0,1913.0,0,1,1,0,2.0,0
Angelino-Heights,450 Rosemont Ave Unit 11,1,0,820000.0,2.0,2.0,1037.0,1037.0,1977.0,1,1,2,0,2.0,0
Angelino-Heights,2411 S Fremont Ave,0,1,983000.0,5.0,3.0,2356.0,4356.0,1989.0,1,1,2,1,2.0,0
Angelino-Heights,300 N El Molino Ave Unit 218,1,0,671000.0,2.0,2.0,982.0,982.0,1987.0,0,1,3,1,4.0,0
Angelino-Heights,2283 W 25th St,0,1,852000.0,4.0,2.0,1872.0,5663.0,1903.0,1,0,2,0,1.0,0
Angelino-Heights,310 Arlington Dr,0,1,2720000.0,2.0,2.0,1908.0,19602.0,1912.0,0,1,1,0,5.0,1
Angelino-Heights,211 E California Ave Unit A8,1,0,450000.0,1.0,1.0,657.0,657.0,1959.0,0,0,1,0,1.0,0
Angelino-Heights,217 S Marengo Ave Unit 112,1,0,575000.0,1.0,1.0,550.0,550.0,2008.0,1,0,3,0,1.0,0
Angelino-Heights,4106 Clayton Ave,0,1,1230000.0,4.0,3.0,1940.0,6534.0,1924.0,1,0,2,1,2.0,0
Angelino-Heights,2222 Dorris Pl,0,1,720000.0,2.0,1.0,1134.0,5227.0,1923.0,1,0,1,0,2.0,0
Angelino-Heights,3015 Division St Unit 108,1,0,530000.0,2.0,2.0,985.0,985.0,1981.0,0,0,2,0,2.0,0
Angelino-Heights,4939 Sancola Ave,0,1,1050000.0,4.0,2.0,2753.0,5227.0,1939.0,0,1,1,0,2.0,0
Angelino-Heights,1710 Copa Way,0,1,948888.0,3.0,2.0,1334.0,6970.0,1961.0,0,1,1,1,2.0,0
Angelino-Heights,10735 Bloomfield St Unit 4,1,0,725000.0,2.0,3.0,1280.0,1280.0,2005.0,0,0,3,0,2.0,0
Angelino-Heights,3364 Live Oak St,0,1,740000.0,3.0,2.0,1917.0,5227.0,1929.0,0,1,1,0,2.0,0
Angelino-Heights,6556 5th Ave,0,1,645600.0,2.0,1.0,1074.0,4792.0,1929.0,1,1,1,0,2.0,0
Angelino-Heights,115 W 64th Pl,0,1,590000.0,2.0,1.0,778.0,7841.0,1926.0,0,0,1,0,1.0,0
Angelino-Heights,919 N Inglewood Ave Unit 16,1,0,410000.0,2.0,2.0,973.0,973.0,1972.0,0,0,2,0,1.0,0
Angelino-Heights,3933 S Harvard Blvd,0,1,949000.0,3.0,2.0,1298.0,4792.0,1912.0,1,1,1,0,2.0,0
Angelino-Heights,10630 Moorpark St Unit 202,1,0,625000.0,2.0,2.0,1339.0,1339.0,1990.0,0,1,3,0,4.0,0
Angelino-Heights,5415 Auckland Ave,0,1,1125000.0,4.0,3.0,1664.0,6534.0,1946.0,0,0,1,1,6.0,0
Angelino-Heights,6435 Allston St,0,1,648000.0,2.0,2.0,1003.0,3920.0,1939.0,0,0,1,0,2.0,0
Angelino-Heights,1480 Sunnyslope Dr,0,1,1050000.0,3.0,2.0,1500.0,7841.0,1957.0,1,1,1,1,2.0,0
Angelino-Heights,3377 Charleston Way,0,1,1900000.0,3.0,4.0,2211.0,6098.0,1926.0,1,1,1,1,2.0,1
Angelino-Heights,720 S Marengo Ave Unit 8,1,0,910900.0,3.0,3.0,1323.0,1323.0,1980.0,0,1,2,1,2.0,0
Angelino-Heights,4922 Mendota Ave,0,1,830000.0,2.0,2.0,900.0,3920.0,1925.0,1,0,1,0,0.0,0
Angelino-Heights,4200 Via Arbolada Unit 212,1,0,625000.0,2.0,2.0,1148.0,1148.0,1987.0,1,1,1,1,2.0,1
Angelino-Heights,116 Marmion Way Unit 10,1,0,611000.0,2.0,2.0,827.0,827.0,1989.0,1,0,1,0,2.0,0
Angelino-Heights,1255 N Los Robles Ave Unit 15,1,0,748000.0,3.0,2.0,1130.0,1130.0,1987.0,1,1,2,1,2.0,0
Angelino-Heights,1152 W 76th St,0,1,850000.0,3.0,3.0,1640.0,5663.0,1939.0,1,0,1,0,6.0,0
Angelino-Heights,2627 Alice St,0,1,770000.0,3.0,3.0,1924.0,5663.0,1915.0,0,0,1,0,1.0,0
Angelino-Heights,733 E 74th St,0,1,670000.0,3.0,2.0,1380.0,4792.0,1978.0,1,0,1,1,2.0,0
Angelino-Heights,206 N Arizona Ave,0,1,400000.0,2.0,1.0,960.0,5663.0,1924.0,0,0,1,0,0.0,0
Angelino-Heights,4316 E 5th St,0,1,310000.0,1.0,1.0,624.0,2178.0,1937.0,0,0,1,0,1.0,0
Angelino-Heights,2014 W 43rd St,0,1,755000.0,3.0,3.0,1288.0,5227.0,1913.0,1,0,1,0,1.0,0
Angelino-Heights,841 Belvidere St,0,1,1065000.0,4.0,2.0,1788.0,6534.0,1900.0,0,1,2,0,2.0,0
Angelino-Heights,5912 S Corning Ave,0,1,1400000.0,3.0,4.0,2552.0,8276.0,1957.0,0,1,1,1,2.0,0
Angelino-Heights,54 W Claremont St,0,1,712000.0,3.0,2.0,1152.0,6970.0,1973.0,0,0,1,1,2.0,0
Angelino-Heights,133 S Los Robles Ave Unit 204,1,0,913000.0,2.0,2.0,1050.0,1050.0,2013.0,1,0,1,0,2.0,0
Angelino-Heights,537 E Maple St Unit 2,1,0,460000.0,1.0,1.0,648.0,648.0,1945.0,1,0,1,0,1.0,0
Angelino-Heights,727 S Ardmore Ave Unit 802,1,0,635000.0,2.0,2.0,1525.0,1525.0,1982.0,1,0,1,1,2.0,0
